店铺名称,是否连锁,有无团购套餐,总评分,评论数,人均价格,口味评分,环境评分,服务评分,区域,分类,详细地址,纬度,经度,营业时间,推荐菜,评论摘要,shop_id,link,name_list_page,主营品类
BONJOUR本就(上海漕河泾印象城店),连锁,有团购,4.3,875,25,4.2,4.3,4.4,漕河泾/田林,茶饮果汁,古美路1520号18幢漕河泾印象城1层L1-02a室,31.17374352,121.4097022,15,"浮云鲜牛乳, 黑金芝麻牛乳, 芭乐柠檬茶",,l2ZD4uTd7RsQvTow,https://www.dianping.com/shop/l2ZD4uTd7RsQvTow,BONJOUR本就(上海漕河泾印象城店),风味牛奶
THE MATCHA TOKYO今抹京茶(前滩太古里店),连锁,有团购,4.2,3335,37,4.4,4.3,4.3,前滩,茶饮果汁,东育路500弄1-9号前滩太古里石区B1层S1-B1-1-19,34.21682555,118.0276531,08:30-21:30,"抹茶拿铁, 抹茶软冰淇淋, 特浓抹茶咖啡啫喱芭菲",,H8li1qUvNXgRzlJC,https://www.dianping.com/shop/H8li1qUvNXgRzlJC,THE MATCHA TOKYO今抹京茶(前滩太古里店),纯茶
盏檐(智慧湾店),连锁,有团购,4.7,337,22,4.5,4.6,4.6,庙行/共康,茶饮果汁,蕰川路6号智慧湾科创园39号楼107室（和府捞面旁）,31.35132014,121.4400978,13.5,"把把壶六堡轻乳茶, 冷萃, 把把壶大红袍茶拿铁",,G5cKLdoPaFt4Zrkr,https://www.dianping.com/shop/G5cKLdoPaFt4Zrkr,盏檐(智慧湾店),纯茶
cococean椰子水(新天地店),连锁,有团购,4.2,1356,30,4.4,4.2,4.3,淮海路,茶饮果汁,淮海中路333号新天地下1层05a、05b室,30.74148037,104.0581241,08:00-22:00,"椰子三兄弟, 新鲜椰子水, 零负担椰奶",,G8XjwzFn7c4ia8v5,https://www.dianping.com/shop/G8XjwzFn7c4ia8v5,cococean椰子水(新天地店),奶茶
BONJOUR本就(上海花木时光里店),连锁,有团购,4,385,28,4,4.3,4.1,世纪公园/科技馆,茶饮果汁,杨高南路99弄1号花木时光里商业1区1层106a号,30.83676142,111.8018968,09:00-22:00,"浮云鲜牛乳, 海盐开心果, 黑金芝麻牛乳",,H4oUJboLqjY58Q6I,https://www.dianping.com/shop/H4oUJboLqjY58Q6I,BONJOUR本就(上海花木时光里店),风味牛奶
BONJOUR本就(上海荟聚店),连锁,有团购,3.8,927,26,3.9,4.1,3.8,北新泾/淞虹路,茶饮果汁,金钟路788号B1层B1B18号,,,10:00-22:00,"浮云鲜牛乳, 芭乐柠檬茶, 黑金芝麻牛乳",,H2C6ZCQy1Euet2QN,https://www.dianping.com/shop/H2C6ZCQy1Euet2QN,BONJOUR本就(上海荟聚店),风味牛奶
闻茶问枼(玖時活力中心店),连锁,有团购,4.4,529,20,4.3,4.4,4.5,肇嘉浜路/中山医院,茶饮果汁,大木桥路18号L1008-1室,,,10:00-22:00,"金骏眉牛乳茶, 铁观音乌梅, 铁观音牛乳",,G94ueJPFEVc7qFtu,https://www.dianping.com/shop/G94ueJPFEVc7qFtu,闻茶问枼(玖時活力中心店),风味牛奶
里美里香teaHouse,非连锁,有团购,4.3,204,38,4.1,4.6,4.4,赵巷镇,茶饮果汁,里美里香TeaHouse,23.0633629,113.8168606,14.5,"橘皮拿铁, 茉莉青柠, 乳斯蛋糕",,k1uHbTkU09lAt0uE,https://www.dianping.com/shop/k1uHbTkU09lAt0uE,里美里香teaHouse,甜品/小吃
麥吉machi machi(上海商城店),连锁,有团购,3.9,215,25,3.9,3.9,3.8,静安寺,茶饮果汁,南京西路1376号,,,14.5,"芝士奶茶, 烤布蕾奶茶, 奶酪奶绿",,l2qJryNg5evkIR4P,https://www.dianping.com/shop/l2qJryNg5evkIR4P,麥吉machi machi(上海商城店),奶茶
裕蘭茶楼mini(余姚路店),连锁,有团购,3.5,51,19,3.4,3.6,3.5,曹家渡,茶饮果汁,余姚路589号一层A1室,,,14,"焦糖可颂蛋挞, 黑糖波波牛乳茶, 桃胶红枣牛乳茶",,H1IAKJYafvJykfDz,https://www.dianping.com/shop/H1IAKJYafvJykfDz,裕蘭茶楼mini(余姚路店),奶茶
