shop_id,店铺名,店铺链接,总评分,评论数,人均价格,口味评分,环境评分,服务评分,分类,区域,详细地址,纬度,经度,营业时间,是否连锁,有无团购套餐,推荐菜,主营品类
H3X6SdDOv3uJGbnw,蜜雪冰城(采育店),https://www.dianping.com/shop/H3X6SdDOv3uJGbnw,3.3,8,8,3.4,3.4,3.2,茶饮果汁,大兴区,采育镇育林街5号-11,39.6656994,116.6459586,10:30-20:00,连锁,有团购,"葡萄冰美式, 椰椰拿铁, 草莓摇摇奶昔",风味牛奶
H3YjkfW8eQ2gYaxJ,LELECHA乐乐茶(中海环宇荟店),https://www.dianping.com/shop/H3YjkfW8eQ2gYaxJ,4.1,1976,19,4.1,4.2,4.2,茶饮果汁,安贞,安定路5号中海环宇荟地B1层B101-2,39.92297764,116.3940903,09:00-21:30,连锁,有团购,"草莓桃子酪酪, 椰椰杨枝甘露, 黑糖波霸脏脏茶（牛乳）",奶茶
H3a5K5WGJRneRlPG,茉莉奶白(北京朝阳大悦城),https://www.dianping.com/shop/H3a5K5WGJRneRlPG,3.9,1579,19,4.0,4.0,3.9,茶饮果汁,青年路,朝阳北路101号8F-27号商铺,39.930884,116.525363,10:00-22:00,连锁,有团购,"茉莉奶白/一朵茉莉花, 栀子奶白/一朵栀子花, 粉茉针王/粉茉抹茶",奶茶
H1v3J8qd5j5L6vnf,茶百道(北京大兴磁各庄店),https://www.dianping.com/shop/H1v3J8qd5j5L6vnf,4.1,71,12,4.1,4.1,4.1,茶饮果汁,大兴区,黄材镇盛顺街20号1层2103,39.708964,116.411527,10:00-22:00,连锁,有团购,"活菌酸奶紫米露, 轻畅羽衣甘蓝, 三重莓果晚安杯",果茶
k2Xtx9u2HdwwOcpV,Uniboba优尼波巴(北京朝阳合生汇店),https://www.dianping.com/shop/H51Arjo5GOvZoKin,4.2,113,18,4.2,4.2,4.2,茶饮果汁,九龙山,西大望路甲22号院1号楼B1层21街区95号,39.899416,116.487814,10:00-22:00,连锁,有团购,"Boba奶茶黑糖丸, 开心果牛乳咸法酪, 抹茶牛乳黑糖丸",奶茶
H382fdzfAhPisQNR,蜜雪冰城(和美汇店),https://www.dianping.com/shop/H382fdzfAhPisQNR,3.6,20,6,3.6,3.7,3.6,茶饮果汁,五里坨,石门路326号院1号楼4层03B号,39.949123,116.423345,10:00-22:00,连锁,有团购,"草莓摇摇奶昔, 奥利奥雪王大圣代, 山楂莓莓",风味牛奶
k2Xtx9u2HdwwOcpV,来一葫(北京合景·摩方购物中心店),https://www.dianping.com/shop/l5ZEf3UfBCYKuhPy,4.3,200,23,4.3,4.4,4.4,茶饮果汁,崇文门,北京市东城区崇文门外大街1号,39.90576628,116.4239508,10:00-20:00,连锁,有团购,"一葫橙, 葫芦服, 元气柠檬汁",果茶
k2Xtx9u2HdwwOcpV,CoCo都可(环球金融中心店),https://www.dianping.com/shop/l3g5JoQB3DtYPk41,3.4,3,14,3.4,3.4,3.4,茶饮果汁,朝外大街,阜成门外大街2号F1-05,39.928496,116.360541,08:30-20:00,连锁,有团购,"杨枝甘露, 三兄弟牛乳茶, 铁观音阿达子",纯茶
k2Xtx9u2HdwwOcpV,蔬时·果蔬茶(长楹天街店),https://www.dianping.com/shop/G350ZTx3yZfgAebD,3.9,467,18,3.9,3.9,3.9,茶饮果汁,常营,常营中街龙湖北京长楹天街内(近常营天街足球俱乐部)地下二层,40.03244773,116.4444653,10:00-21:00,连锁,有团购,"轻体小绿杯, 一日量小绿瓶, 羽衣牛油果卡士",其他
G3aXHJ1TQVlSz8fh,CHAGEE霸王茶姬(北京航城世界坊店),https://www.dianping.com/shop/G3aXHJ1TQVlSz8fh,4.2,285,17,4.3,4.3,4.3,茶饮果汁,空港社区,CHAGEE霸王茶姬(北京航城世界坊店),39.739898,116.19187,,非连锁,无团购,"霸王茶姬, 花田乌龙, 山野栀子",纯茶
k2Xtx9u2HdwwOcpV,茉莉奶白(北京京西大悦城店),https://www.dianping.com/shop/l3JDeFjZyQBCCdKQ,4.1,675,19,4.1,4.1,4.1,茶饮果汁,苹果园,阜石路173号院1号楼京西大悦城B2-C21号,39.93172501,116.1895049,10:00-22:00,连锁,有团购,"茉莉奶白, 栀子奶白, 一朵茉莉花",奶茶
H73aGTyG57r7FhzO,LINLEE林里·手打柠檬茶(西城JK FUN商城店),https://www.dianping.com/shop/H73aGTyG57r7FhzO,4.1,316,19,4.1,4.2,4.1,茶饮果汁,西直门/动物园,西直门外大街116号JKFUN商城B1层B05,39.943585,116.350865,10:00-22:00,连锁,有团购,"招牌手打柠檬茶, 单丛鸭屎香手打柠檬茶, 海底椰手打冰柠茶",果茶
k2Xtx9u2HdwwOcpV,奈喜乐·分子果汁(中关村店),https://www.dianping.com/shop/G3lBj3EVirKzKsvm,3.5,7,21,3.5,3.5,3.6,茶饮果汁,中关村,海淀街道中关村图书大厦,39.9899585,116.3210621,09:00-22:30,连锁,有团购,"白桃穿刺手打柠檬茶, 多汁葡萄冰柠茶, 闽南芭乐柠檬茶",果茶
k2Xtx9u2HdwwOcpV,Jazcu珍仕菓鲜榨果汁(龙湖北京亦庄天街店),https://www.dianping.com/shop/l4ZEDin8dDtnk0Rn,4.6,266,27,4.5,4.5,4.5,茶饮果汁,亦庄龙湖天街,西大望路21号合生汇F4层,39.89988132,116.4859291,10:00-22:00,连锁,有团购,"超模红菜头ABC, 牛油果酸奶冰, 胡萝卜橙C",风味牛奶
G34TB2MWZRWryymm,茉莉奶白(北京垡头永辉店),https://www.dianping.com/shop/G34TB2MWZRWryymm,3.9,187,21,3.8,3.9,3.9,茶饮果汁,北京欢乐谷,西大望路21号合生汇西区负一楼,39.89988132,116.4859291,10:00-22:00,连锁,有团购,"茉莉奶白, 一朵茉莉花, 白兰",奶茶
k2Xtx9u2HdwwOcpV,绿牛果果(五棵松华熙店),https://www.dianping.com/shop/G3nwYNGhdfeFH7r6,3.8,42,23,3.8,3.8,3.9,茶饮果汁,五棵松,复兴路华熙广场负一层,39.91678427,116.283157,10:00-22:00,连锁,有团购,"芒橙CP芒果+橙子, 芒果奶昔, 雪梨凤梨饮",果茶
k2Xtx9u2HdwwOcpV,奈喜乐·分子果汁(五棵松店),https://www.dianping.com/shop/H73nXYKytCwrOe2k,3.5,6,21,3.6,3.7,3.6,茶饮果汁,五棵松,复兴路69号五棵松万达广场万达广场南区LG,39.91872741,116.2829427,18,非连锁,无团购,"泰凉手打深萃柠檬茶, 多汁葡萄冰柠茶, 牛油果羽衣甘蓝草莓酸奶",果茶
k9kfrlLlWWBs4CWL,FULLCHA·赋茶,https://www.dianping.com/shop/k9kfrlLlWWBs4CWL,3.5,2,6,3.5,3.5,3.5,茶饮果汁,顺义区,北京市西城区马连道南街华睦大厦写字楼12楼1216号,39.88034669,116.3348911,暂无,非连锁,有团购,"西瓜生打椰椰, 芝芝凤梨, 圣代",甜品/小吃
kaC79txqwwfNemPK,LINLEE林里·手打柠檬茶(顺义欧陆广场店),https://www.dianping.com/shop/kaC79txqwwfNemPK,4.4,103,18,4.4,4.4,4.4,茶饮果汁,国展,新顺南大街8号院1幢一层F1-07（华联商厦）,39.93443855,116.6461634,10:00-22:00,连锁,有团购,"招牌手打柠檬茶, 香柠椰青水, 白葡萄冰柠茶",果茶
H7Z94NfVCgRJl6cx,甜啦啦鲜果茶(金帝未来店),https://www.dianping.com/shop/H7Z94NfVCgRJl6cx,3.6,5,9,3.6,3.6,3.6,茶饮果汁,顺义城区,北京市军营街16号院2号楼1至2层104,40.1138792,116.6383765,09:30-22:00,连锁,有团购,"西瓜椰椰爽, 西瓜马蹄水, 西瓜爽爽桶",其他
